wear_state,cumulative_hours,Head_mean,Head_std,Head_var,Head_min,Head_max,Head_range,Head_median,Head_iqr,Head_mad,Head_skewness,Head_kurtosis,Head_rms,Head_peak,Head_peak_to_peak,Head_abs_mean,Head_crest_factor,Head_shape_factor,Head_impulse_factor,Head_clearance_factor,Head_peak_freq,Head_peak_ampl,Head_spectral_centroid,Head_spectral_spread,Head_spectral_skewness,Head_spectral_kurtosis,Head_band_power_0_100,Head_band_power_100_500,Motor_mean,Motor_std,Motor_var,Motor_min,Motor_max,Motor_range,Motor_median,Motor_iqr,Motor_mad,Motor_skewness,Motor_kurtosis,Motor_rms,Motor_peak,Motor_peak_to_peak,Motor_abs_mean,Motor_crest_factor,Motor_shape_factor,Motor_impulse_factor,Motor_clearance_factor,Motor_peak_freq,Motor_peak_ampl,Motor_spectral_centroid,Motor_spectral_spread,Motor_spectral_skewness,Motor_spectral_kurtosis,Motor_band_power_0_100,Motor_band_power_100_500,Frame_mean,Frame_std,Frame_var,Frame_min,Frame_max,Frame_range,Frame_median,Frame_iqr,Frame_mad,Frame_skewness,Frame_kurtosis,Frame_rms,Frame_peak,Frame_peak_to_peak,Frame_abs_mean,Frame_crest_factor,Frame_shape_factor,Frame_impulse_factor,Frame_clearance_factor,Frame_peak_freq,Frame_peak_ampl,Frame_spectral_centroid,Frame_spectral_spread,Frame_spectral_skewness,Frame_spectral_kurtosis,Frame_band_power_0_100,Frame_band_power_100_500
1,180,-0.0007028297421968464,0.07718651855270837,0.005957758646287594,-1.450843,1.46198,2.9128230000000004,-0.000568,0.066833,0.05160874987778357,0.0033152909642553134,14.661283103643928,0.07718968060521594,1.46198,2.9128230000000004,0.051612433336481155,18.940096506660105,1.4955636774668497,28.326120383444593,37.39884258240146,118.79635655402718,0.003625816539677589,340.732501734561,201.2898573751208,0.7242772215664325,-0.304903329043412,4.316325275024557,34.96219727561348,0.0016010237814191453,0.13754377082617344,0.01891828889308292,-0.851188,0.771218,1.6224059999999998,0.007937,0.206943,0.11350180012000065,-0.13097102581058379,-0.35237437456565424,0.13755302132880987,0.851188,1.6224059999999998,0.11355753451476845,6.188072001407463,1.2113068667381945,7.495654107229715,8.64328329439398,135.03237481371275,0.013900407741139823,341.9423877987938,215.1849563484582,0.43447571754711134,-0.9952831298187199,7.220861926647845,36.32056093332071,-0.00042819435780065387,0.03103117256061481,0.0009629336704866536,-0.500817,0.53761,1.038427,-0.00027,0.040632,0.023954254082876596,0.0035358758224040775,9.259001474513882,0.031034111548104707,0.53761,1.038427,0.023954886961316098,17.32319609502433,1.2955231889394878,22.442602248373156,26.488809081764153,118.79635655402718,0.006452878698599856,329.47830119073217,191.20813591125358,0.40530082297538966,-0.6790758277180426,1.3987275377366362,12.204012032542629
2,240,-0.0007839685996165308,0.07568763184398984,0.005728617614151345,-1.366279,1.360998,2.727277,-0.000812,0.065978,0.051135516538474944,0.01554236968304435,12.607761395586612,0.07569165489612555,1.366279,2.727277,0.05114322525612549,18.05058961726949,1.4799937726958248,26.714760227399704,35.40559431886356,106.01079463388136,0.0028853053585081536,335.51637136943054,201.70017695702376,0.7648653476283636,-0.26416097522584936,4.3503481556480645,33.78761949094613,0.0014536929630606088,0.14167110202170394,0.020070701148044042,-0.8545,0.820345,1.674845,0.008637,0.216701,0.11749705440292482,-0.13086919852659457,-0.435338888704655,0.14167849078525746,0.8545,1.674845,0.11755038074305289,6.031261310435168,1.2052576085971143,7.269223583890696,8.353386109928246,135.05657156223685,0.02064269913989967,341.29949895941917,213.7719754450476,0.44893947801092693,-0.9412475851908924,7.376580145696346,36.32587106975996,-0.0008193629910466518,0.030491306924010392,0.000929719797934204,-0.466856,0.384871,0.851727,-0.00072,0.040854,0.024150322553841922,-0.016202376882330782,1.1148220907933561,0.030502299008418637,0.466856,0.851727,0.02415674446713232,15.305600402639884,1.2626825211757073,19.326114105146843,22.787664852433593,118.67053346170175,0.0035084511217575577,322.0707311270704,191.1502573387156,0.46339438089683693,-0.6773365317644906,1.3377639829872876,11.56541695058225
3,320,-0.0008617150309200653,0.0779128601546673,0.0060704137774807414,-1.318451,1.389735,2.708186,-0.000736,0.071908,0.053164369938822,0.001305001840144078,13.203879127139363,0.07791758720693628,1.389735,2.708186,0.05317006537599609,17.835960401228242,1.4654408764493856,26.137545443027904,33.98058009248417,210.22619052727288,0.0028532703678795157,348.69374722159176,197.05165695456543,0.7111803237355216,-0.2521662553511561,3.7056063629003537,34.55643421059262,0.00153475005938097,0.14648034549287314,0.02145649161571148,-0.91817,0.872785,1.790955,0.00952,0.216271,0.11997769186488727,-0.1349881663252771,-0.14651678772489873,0.1464883138639122,0.91817,1.790955,0.12004166858141882,6.267871994531339,1.2203122098668222,7.648760724861119,8.849446694150714,131.875505689599,0.016227719013053886,323.88055849082684,214.89688352393821,0.4617944095457271,-0.9773263860239023,11.106934173293837,37.07979681505191,-0.0003865350388993939,0.029762481239147053,0.0008858052895105804,-0.351288,0.364354,0.715642,-0.000474,0.040248,0.02359015279054606,0.0653306949556303,0.9857801096356549,0.02976497661563202,0.364354,0.715642,0.02359299879448133,12.241030950328614,1.26160209109716,15.443310244638477,18.181786251709006,118.80926148657338,0.0042479574934750014,323.52432304416243,187.83784621773654,0.479590187577785,-0.5467440984589214,1.498727684597133,11.13657538675044
4,390,-0.0007679498073890331,0.07494508294933874,0.005616765458283266,-1.35371,1.372422,2.7261319999999998,-0.000736,0.066722,0.05124287078372828,0.0028323803715563562,13.757298142191157,0.07494898074375989,1.372422,2.7261319999999998,0.05124804217551911,18.311416464405408,1.4624750051056605,26.779988887630484,34.59817117553994,212.42970775953623,0.003026838331189374,350.551771997881,199.8022859759376,0.7312276376651152,-0.294184521427185,3.402425372570509,32.094300044753,0.0014559947018804905,0.13821163929967673,0.019102457237903943,-0.869674,1.082647,1.952321,0.012298,0.20928000000000002,0.11462773015963328,-0.18989276313563275,-0.4116155541488995,0.1382192406464988,1.082647,1.952321,0.11470701974480871,7.832824105589466,1.204976303567064,9.438367437312474,10.836862660732882,132.16102732218366,0.017489025626283777,355.15866177975505,211.6110676662063,0.2888341640021588,-1.1217355459498726,5.759907910981327,33.610908951695976,-0.00059428075889373,0.02948412013413312,0.000869313340083994,-0.266904,0.28988,0.556784,-0.000624,0.039894,0.023448926701325094,0.015015121961420214,0.5710588915827168,0.029490094267538576,0.28988,0.556784,0.023454134897325903,9.829741382320968,1.2573516096576858,12.359441149999139,14.56653495548239,117.62200769232315,0.004185555874449245,327.15230700299657,189.31843193519245,0.453510976977166,-0.5274470528686539,1.5132261583825946,10.598034319932848
5,440,-0.0008828004388520723,0.0758074800217637,0.005746774027250103,-1.399625,1.333372,2.732997,-0.000934,0.069937,0.051986456095826625,0.018070136816889234,13.74175655434151,0.0758125830328568,1.399625,2.732997,0.05199645616712516,18.461645072493408,1.4580336549807291,26.917699842359593,35.103911428675524,317.33067819444454,0.0033649810084306884,349.31772061506257,201.27017557756614,0.7035631038522472,-0.3199228336976465,3.8016192967965443,32.285856041729126,0.0013126413160185868,0.14927553297722398,0.022283184745634288,-1.821154,1.907972,3.729126,0.007637,0.22492600000000001,0.12320337334352335,-0.1239921939526496,-0.2787637972312038,0.14928123120460204,1.907972,3.729126,0.1232456250244921,12.78105750194536,1.211249739483448,15.481052569657994,17.863176295931712,135.0549584456686,0.01857788874787927,349.5628729167487,211.37209529824852,0.32556519520862154,-1.0594279963382611,7.196630204982139,37.844036141712714,-0.0004252611210039981,0.028640539361875675,0.0008202804949391498,-0.320212,0.309083,0.6292949999999999,-0.000294,0.038431,0.022675067829366968,-0.050153899697838136,0.9697889502556789,0.02864368237667959,0.320212,0.6292949999999999,0.02267600393538194,11.179149237094013,1.2631715207423722,14.121182942918969,16.643908423693556,118.23660510483583,0.0032218091816893853,328.316590287583,190.8180808265474,0.4560680807750665,-0.5243681547790375,1.6156807352964473,10.505701057249146
6,480,-0.0010891585243902437,0.07654746320605717,0.005859514123282675,-1.350036,1.270958,2.620994,-0.001161,0.068716,0.05174605980147226,-0.037773871752945,12.68974891187487,0.07655517397024095,1.350036,2.620994,0.05175984696213405,17.634810685782785,1.479045601212217,26.082689173357934,33.90697746261573,211.24568019842255,0.002576196077618729,343.3352399729402,197.50562063200198,0.6864074246518871,-0.26313688871367535,4.23755060665442,34.408001849166155,0.0015423197361298458,0.16279712796033172,0.026502904872132617,-1.575626,1.380713,2.956339,0.010311,0.23657899999999998,0.13290670999029444,-0.1657824698040146,-0.16832624112296646,0.16280435410154867,1.575626,2.956339,0.13297276573806824,9.678033543301492,1.2243435954473474,11.849238385338563,13.763697687869099,133.02888403591547,0.01819610267205311,377.90263239600813,193.64914766981673,0.18958860263081745,-0.7724458818068061,5.140164509794065,47.46209708106941,-0.0003816783396566669,0.02312631222035852,0.0005348263169135038,-0.275188,0.230404,0.505592,-0.00033,0.031916,0.018451577603980508,0.010908017118094677,0.9982842947749107,0.02312945032744462,0.275188,0.505592,0.018453297175584346,11.897731943139762,1.2534047496289125,14.912673727987755,17.46225792074548,117.73008650239755,0.003858952013656577,339.9567030741961,212.19709232626732,0.3579917069075198,-0.98506767273068,1.711385879191934,7.4944477863070045
7,570,-0.001157206902554046,0.0762280162619136,0.005810710463226564,-1.28329,1.232164,2.515454,-0.001225,0.069826,0.051973904233123765,-0.04714673282414271,12.831254823786267,0.0762367622003307,1.28329,2.515454,0.05198733139427237,16.83295516421604,1.4664488473294386,24.684667698036527,31.815686520746187,117.2090498508448,0.002890183969313806,344.3128008348318,196.98506799314544,0.6743699919650656,-0.2556198998132131,4.150212680018112,34.23189707533423,0.0013920335652334139,0.15263807695157847,0.023298382535475993,-1.086841,0.99055,2.077391,0.007545,0.218026,0.12383917659205672,-0.12322380690913994,-0.057887175485845876,0.15264434977299537,1.086841,2.077391,0.12388386070070888,7.120086669497904,1.232156867798436,8.77306368919941,10.21142398950239,132.21748640207326,0.014493735119114002,378.77300714932846,202.69628640363683,0.1587657450243667,-0.854286391782153,6.053608025401149,42.55847181987418,-0.000448971663465859,0.025038734142420964,0.0006269382074548373,-0.275488,0.24515,0.520638,-0.000312,0.036156999999999995,0.02027539383628453,0.0014652848042063296,0.5282921186921787,0.02504274685706104,0.275488,0.520638,0.020276493334731683,11.00071016815485,1.2350630083028293,13.586570194291387,15.783851240826051,117.2090498508448,0.005470635461552192,333.6129454265138,212.34491358491113,0.4874123867537366,-0.8243938275931297,1.561613445497409,8.059973947386322
8,630,-0.0013527200875909902,0.07541513497379095,0.005687442583115106,-1.388742,1.164523,2.5532649999999997,-0.001446,0.068269,0.0515379527717276,-0.043699888405786654,12.816518086147537,0.07542722900252082,1.388742,2.5532649999999997,0.05155757481741104,18.411679950952138,1.462970848962159,26.93575104902112,34.55264423178848,210.23102987697771,0.002919478977321672,349.31433243731243,196.42955516111684,0.6784852784631856,-0.29213668701574935,3.419226119699476,33.88898406045121,0.001289603246566778,0.15394933931624186,0.02370039907590737,-1.321868,1.525231,2.847099,0.007336,0.223951,0.1256331318436774,-0.09887730430324825,-0.11799729407005977,0.15395466535362948,1.525231,2.847099,0.12567259224523825,9.907013837396098,1.2250456730611268,12.136544434537631,14.085331381050313,133.71445857743225,0.01563807131864443,377.70511020888,205.87703938354974,0.14653758814219617,-0.8963239970096808,6.74119957038778,41.975841894153795,-0.0007745702399998998,0.02683105163215454,0.0007199053316873427,-0.255373,0.237225,0.492598,-0.00057,0.037453,0.02139532134965818,-0.006622839816946895,1.055391377247262,0.02684221650686764,0.255373,0.492598,0.021399243277247546,9.513856649101553,1.25435353754555,11.933739743946374,13.955679486401342,118.86894679959954,0.0037545102195799623,338.6400796466724,209.28538443687071,0.4792224216061515,-0.8475187342749044,1.364188798932513,8.902679974912115
9,710,-0.0011842623238605707,0.07461999578090221,0.005568143770341864,-1.225189,1.236878,2.4620670000000002,-0.001097,0.069722,0.051746710663147295,-0.01745401290048693,9.399831883022916,0.07462935543510638,1.236878,2.4620670000000002,0.05175825796370959,16.57361225716264,1.441883061172403,23.89721077636234,30.669811037376466,118.64525432494766,0.004848568039832222,340.74269167308995,200.73226570642802,0.7230292712689673,-0.2905266307308292,3.9035859078539383,31.732368891203855,0.0014541902516404547,0.17389676104738183,0.030240083502770215,-1.178178,1.165999,2.344177,0.0021445,0.24719000000000002,0.14054643374370593,-0.024301005718360434,0.021678954509260162,0.17390275444545156,1.178178,2.344177,0.14055476599973601,6.774924317617905,1.2372597485918115,8.382341157992682,9.773576631759656,135.80082800775992,0.012304422714864148,372.4090843225628,202.7959145641561,0.15196787219807215,-0.893727604418074,8.06833139621539,48.18113809948267,-0.0006218635382330511,0.02391190777080113,0.0005717793332392996,-0.241335,0.199766,0.44110099999999997,-0.000528,0.034506999999999996,0.019433897099704407,0.002533458104287602,0.038945537405847386,0.023919980708115466,0.241335,0.44110099999999997,0.01943797875854351,10.089263989583054,1.2305796299098957,12.415642746883401,14.427884290947121,118.64525432494766,0.006627840862751072,337.0371120215319,214.13096768952698,0.4455265231509302,-0.9035862155331711,1.480794211447744,7.598848527700572
10,760,-0.0010379090603083658,0.07641472103000219,0.005839209590093058,-1.33124,1.345394,2.676634,-0.000899,0.074739,0.05272999469702855,-0.08056956031983811,15.525257726699422,0.07642173210022875,1.345394,2.676634,0.05273601990844252,17.604861379193576,1.4491372733751802,25.511860817526426,32.241165294418195,118.83829758480233,0.0038922988787778085,347.734388897055,199.41851048787825,0.6398400281823013,-0.31137312263775785,4.413321496954533,34.2492430025391,0.001455680192322823,0.16257080124439136,0.0264292654172434,-1.287828,1.53137,2.819198,0.002841,0.23435899999999998,0.13181908747027463,-0.03837781533031047,0.059660944011106665,0.16257723883180342,1.53137,2.819198,0.13183280015085502,9.419338223445171,1.2332078105337565,11.616001467283192,13.524180937453284,135.65342469249853,0.011789257711489792,374.572922721203,205.0081642523021,0.11209337674749881,-0.9412411602336439,8.365066117022462,45.86091344818449,-0.00039547436432365164,0.025303895251345077,0.000640287114891044,-0.370473,0.3199,0.690373,-0.0003,0.035749,0.020390991805013043,-0.03733305692510677,0.8198788203672143,0.025306973129003048,0.370473,0.690373,0.02039212551239451,14.63916676628468,1.2410169362865209,18.16745389079995,21.178370439760652,118.83829758480233,0.004713705482488624,345.99047199055155,211.45613038492925,0.3749614074062683,-0.9802654331481921,1.424770631304239,8.590280276607025
